Table showing signal significance of signal muons passing various cuts: 
gamma(pt cut)  gamma(p cut)   S(gamma cuts(pt+p+eta))   B_EM(gamma cuts(pt+p+eta))   B(gamma cuts(pt+p+eta))   misID(gamma cuts(pt+p+eta))   S/B_EM(gamma cuts(pt+p+eta))  S/sqrt(B+misID)(gamma cuts(pt+p+eta))  
2.00000e-02   1.00000e+00   3.90396e-04   3.16820e-01   8.00970e-01   1.92750e-01   4.36212e-04   8.89217e-04  
2.00000e-02   1.10000e+00   3.81641e-04   3.13100e-01   7.77490e-01   1.82910e-01   4.32820e-04   8.92353e-04  
2.00000e-02   1.20000e+00   3.72090e-04   3.10930e-01   7.53360e-01   1.73660e-01   4.28693e-04   8.92891e-04  
2.00000e-02   1.30000e+00   3.64131e-04   3.07830e-01   7.32698e-01   1.65398e-01   4.25398e-04   8.95349e-04  
2.00000e-02   1.40000e+00   3.54381e-04   3.03800e-01   7.09617e-01   1.57507e-01   4.20686e-04   8.92936e-04  
2.00000e-02   1.50000e+00   3.46422e-04   3.01010e-01   6.90107e-01   1.50397e-01   4.17011e-04   8.93276e-04  
2.00000e-02   1.60000e+00   3.39060e-04   2.97290e-01   6.72020e-01   1.43780e-01   4.13604e-04   8.94183e-04  
2.00000e-02   1.70000e+00   3.32891e-04   2.94190e-01   6.55956e-01   1.37326e-01   4.11022e-04   8.98309e-04  
2.00000e-02   1.80000e+00   3.25330e-04   2.92330e-01   6.38481e-01   1.31631e-01   4.07146e-04   8.96696e-04  
2.00000e-02   1.90000e+00   3.19958e-04   2.90160e-01   6.24973e-01   1.26493e-01   4.04727e-04   8.99621e-04  
2.00000e-02   2.00000e+00   3.15580e-04   2.89230e-01   6.13278e-01   1.21618e-01   4.02978e-04   9.04922e-04  
2.00000e-02   2.10000e+00   3.11998e-04   2.87990e-01   6.03198e-01   1.17118e-01   4.01719e-04   9.11677e-04  
2.00000e-02   2.20000e+00   3.06825e-04   2.84890e-01   5.91034e-01   1.13014e-01   3.99103e-04   9.12693e-04  
2.00000e-02   2.30000e+00   3.03243e-04   2.83650e-01   5.81463e-01   1.09023e-01   3.97677e-04   9.18401e-04  
2.00000e-02   2.40000e+00   2.98667e-04   2.80860e-01   5.70778e-01   1.05468e-01   3.95324e-04   9.19657e-04  
2.00000e-02   2.50000e+00   2.95881e-04   2.78070e-01   5.62977e-01   1.02007e-01   3.94341e-04   9.26410e-04  
2.00000e-02   2.60000e+00   2.91106e-04   2.74350e-01   5.52290e-01   9.87601e-02   3.91712e-04   9.26318e-04  
2.00000e-02   2.70000e+00   2.88519e-04   2.72180e-01   5.45192e-01   9.56920e-02   3.90751e-04   9.32689e-04  
2.00000e-02   2.80000e+00   2.85733e-04   2.71250e-01   5.37987e-01   9.28266e-02   3.89561e-04   9.37831e-04  
2.00000e-02   2.90000e+00   2.82749e-04   2.70010e-01   5.30561e-01   9.00507e-02   3.88180e-04   9.42230e-04  
2.00000e-02   3.00000e+00   2.80560e-04   2.68150e-01   5.24410e-01   8.73102e-02   3.87427e-04   9.49496e-04  
2.00000e-02   3.10000e+00   2.77376e-04   2.67220e-01   5.16955e-01   8.48148e-02   3.85783e-04   9.52431e-04  
2.00000e-02   3.20000e+00   2.73397e-04   2.64740e-01   5.08379e-01   8.24388e-02   3.83442e-04   9.52198e-04  
2.00000e-02   3.30000e+00   2.70014e-04   2.61950e-01   5.00947e-01   8.02771e-02   3.81496e-04   9.52994e-04  
2.00000e-02   3.40000e+00   2.67427e-04   2.59470e-01   4.94725e-01   7.80846e-02   3.80210e-04   9.57024e-04  
2.00000e-02   3.50000e+00   2.66233e-04   2.58540e-01   4.90784e-01   7.60039e-02   3.80030e-04   9.65705e-04  
2.00000e-02   3.60000e+00   2.61856e-04   2.54200e-01   4.81912e-01   7.39516e-02   3.77206e-04   9.62916e-04  
2.00000e-02   3.70000e+00   2.59269e-04   2.52030e-01   4.75965e-01   7.20350e-02   3.75806e-04   9.66004e-04  
2.00000e-02   3.80000e+00   2.57080e-04   2.50480e-01   4.70829e-01   7.03093e-02   3.74660e-04   9.69533e-04  
2.00000e-02   3.90000e+00   2.54693e-04   2.48930e-01   4.65241e-01   6.84407e-02   3.73403e-04   9.73552e-04  
2.00000e-02   4.00000e+00   2.52106e-04   2.47070e-01   4.59502e-01   6.67315e-02   3.71911e-04   9.75927e-04  
2.00000e-02   4.10000e+00   2.48922e-04   2.44590e-01   4.52827e-01   6.50169e-02   3.69911e-04   9.76226e-04  
2.00000e-02   4.20000e+00   2.45739e-04   2.41180e-01   4.46270e-01   6.34205e-02   3.67853e-04   9.75795e-04  
2.00000e-02   4.30000e+00   2.42953e-04   2.39630e-01   4.40330e-01   6.18198e-02   3.66128e-04   9.77144e-04  
2.00000e-02   4.40000e+00   2.41162e-04   2.38390e-01   4.36072e-01   6.03520e-02   3.65199e-04   9.81664e-04  
2.00000e-02   4.50000e+00   2.38774e-04   2.37150e-01   4.31028e-01   5.90277e-02   3.63693e-04   9.82787e-04  
2.00000e-02   4.60000e+00   2.36586e-04   2.34980e-01   4.26167e-01   5.75769e-02   3.62409e-04   9.85971e-04  
2.00000e-02   4.70000e+00   2.34994e-04   2.33430e-01   4.22348e-01   5.62381e-02   3.61594e-04   9.90925e-04  
2.00000e-02   4.80000e+00   2.33004e-04   2.31880e-01   4.18026e-01   5.50156e-02   3.60381e-04   9.93391e-04  
2.00000e-02   4.90000e+00   2.30616e-04   2.30330e-01   4.13135e-01   5.38450e-02   3.58793e-04   9.93842e-04  
2.00000e-02   5.00000e+00   2.27831e-04   2.27850e-01   4.07541e-01   5.25912e-02   3.56883e-04   9.93471e-04  
2.00000e-02   5.10000e+00   2.25642e-04   2.25680e-01   4.02925e-01   5.13851e-02   3.55474e-04   9.95407e-04  
2.00000e-02   5.20000e+00   2.23851e-04   2.25060e-01   3.98953e-01   5.02030e-02   3.54404e-04   9.99066e-04  
2.00000e-02   5.30000e+00   2.22458e-04   2.24440e-01   3.95635e-01   4.90547e-02   3.53672e-04   1.00440e-03  
2.00000e-02   5.40000e+00   2.21065e-04   2.23510e-01   3.92391e-01   4.79813e-02   3.52907e-04   1.00922e-03  
2.00000e-02   5.50000e+00   2.19274e-04   2.21340e-01   3.88533e-01   4.69132e-02   3.51782e-04   1.01237e-03  
2.00000e-02   5.60000e+00   2.17683e-04   2.20100e-01   3.85023e-01   4.58826e-02   3.50817e-04   1.01625e-03  
2.00000e-02   5.70000e+00   2.15693e-04   2.18860e-01   3.80934e-01   4.48943e-02   3.49471e-04   1.01798e-03  
2.00000e-02   5.80000e+00   2.13504e-04   2.16690e-01   3.76612e-01   4.39822e-02   3.47904e-04   1.01805e-03  
2.00000e-02   5.90000e+00   2.10519e-04   2.14830e-01   3.70929e-01   4.29494e-02   3.45658e-04   1.01581e-03  
2.00000e-02   6.00000e+00   2.09326e-04   2.13590e-01   3.68153e-01   4.20325e-02   3.44991e-04   1.02101e-03  
2.00000e-02   6.10000e+00   2.07336e-04   2.12350e-01   3.64168e-01   4.11484e-02   3.43576e-04   1.02211e-03  
2.00000e-02   6.20000e+00   2.05346e-04   2.10490e-01   3.60293e-01   4.03726e-02   3.42104e-04   1.02198e-03  
2.00000e-02   6.30000e+00   2.03754e-04   2.08630e-01   3.56980e-01   3.95403e-02   3.41023e-04   1.02468e-03  
2.00000e-02   6.40000e+00   2.02162e-04   2.07080e-01   3.53718e-01   3.87582e-02   3.39916e-04   1.02688e-03  
2.00000e-02   6.50000e+00   2.00769e-04   2.05840e-01   3.50759e-01   3.79691e-02   3.38995e-04   1.03034e-03  
2.00000e-02   6.60000e+00   1.99377e-04   2.04290e-01   3.47898e-01   3.72780e-02   3.38025e-04   1.03264e-03  
2.00000e-02   6.70000e+00   1.98382e-04   2.03670e-01   3.45620e-01   3.65501e-02   3.37444e-04   1.03767e-03  
2.00000e-02   6.80000e+00   1.96989e-04   2.02430e-01   3.42735e-01   3.58354e-02   3.36482e-04   1.04060e-03  
2.00000e-02   6.90000e+00   1.95795e-04   2.01500e-01   3.40152e-01   3.51122e-02   3.35711e-04   1.04490e-03  
2.00000e-02   7.00000e+00   1.95596e-04   2.01190e-01   3.39103e-01   3.43728e-02   3.35888e-04   1.05500e-03  
2.00000e-02   7.10000e+00   1.93805e-04   1.99020e-01   3.35708e-01   3.37684e-02   3.34491e-04   1.05465e-03  
2.00000e-02   7.20000e+00   1.92810e-04   1.98090e-01   3.33554e-01   3.31640e-02   3.33847e-04   1.05876e-03  
2.00000e-02   7.30000e+00   1.92014e-04   1.97160e-01   3.31700e-01   3.25497e-02   3.33397e-04   1.06429e-03  
2.00000e-02   7.40000e+00   1.90224e-04   1.95300e-01   3.28300e-01   3.19402e-02   3.31993e-04   1.06438e-03  
2.00000e-02   7.50000e+00   1.89627e-04   1.94990e-01   3.26721e-01   3.12906e-02   3.31750e-04   1.07199e-03  
2.00000e-02   7.60000e+00   1.88433e-04   1.93750e-01   3.24305e-01   3.07348e-02   3.30887e-04   1.07483e-03  
2.00000e-02   7.70000e+00   1.87438e-04   1.92820e-01   3.22118e-01   3.00978e-02   3.30255e-04   1.08041e-03  
2.00000e-02   7.80000e+00   1.85448e-04   1.91270e-01   3.18441e-01   2.95212e-02   3.28630e-04   1.07933e-03  
2.00000e-02   7.90000e+00   1.83856e-04   1.89720e-01   3.15399e-01   2.89587e-02   3.27377e-04   1.08041e-03  
2.00000e-02   8.00000e+00   1.82065e-04   1.88480e-01   3.12056e-01   2.84065e-02   3.25920e-04   1.08024e-03  
2.00000e-02   8.10000e+00   1.80076e-04   1.86310e-01   3.08438e-01   2.78881e-02   3.24243e-04   1.07831e-03  
2.00000e-02   8.20000e+00   1.78484e-04   1.84760e-01   3.05503e-01   2.74327e-02   3.22917e-04   1.07762e-03  
2.00000e-02   8.30000e+00   1.77489e-04   1.83830e-01   3.03486e-01   2.69658e-02   3.22183e-04   1.08085e-03  
2.00000e-02   8.40000e+00   1.76295e-04   1.82590e-01   3.01127e-01   2.64670e-02   3.21266e-04   1.08365e-03  
2.00000e-02   8.50000e+00   1.75101e-04   1.81350e-01   2.98813e-01   2.60131e-02   3.20324e-04   1.08566e-03  
2.00000e-02   8.60000e+00   1.74305e-04   1.80730e-01   2.97084e-01   2.55239e-02   3.19794e-04   1.09103e-03  
2.00000e-02   8.70000e+00   1.73111e-04   1.79490e-01   2.94764e-01   2.50636e-02   3.18852e-04   1.09346e-03  
2.00000e-02   8.80000e+00   1.72117e-04   1.78560e-01   2.92779e-01   2.46293e-02   3.18092e-04   1.09672e-03  
2.00000e-02   8.90000e+00   1.70127e-04   1.77010e-01   2.89251e-01   2.42006e-02   3.16326e-04   1.09360e-03  
2.00000e-02   9.00000e+00   1.69530e-04   1.76080e-01   2.87928e-01   2.38078e-02   3.15940e-04   1.09872e-03  
2.00000e-02   9.10000e+00   1.68535e-04   1.75150e-01   2.85923e-01   2.33526e-02   3.15185e-04   1.10287e-03  
2.00000e-02   9.20000e+00   1.67341e-04   1.73910e-01   2.83672e-01   2.29617e-02   3.14192e-04   1.10433e-03  
2.00000e-02   9.30000e+00   1.66346e-04   1.72670e-01   2.81725e-01   2.25654e-02   3.13401e-04   1.10737e-03  
2.00000e-02   9.40000e+00   1.64953e-04   1.70500e-01   2.79208e-01   2.22180e-02   3.12174e-04   1.10665e-03  
2.00000e-02   9.50000e+00   1.63759e-04   1.70190e-01   2.76939e-01   2.18091e-02   3.11182e-04   1.10889e-03  
2.00000e-02   9.60000e+00   1.61770e-04   1.68330e-01   2.73488e-01   2.14578e-02   3.09334e-04   1.10434e-03  
2.00000e-02   9.70000e+00   1.60775e-04   1.67400e-01   2.71595e-01   2.11153e-02   3.08501e-04   1.10642e-03  
2.00000e-02   9.80000e+00   1.59979e-04   1.66780e-01   2.70015e-01   2.07753e-02   3.07871e-04   1.10991e-03  
2.00000e-02   9.90000e+00   1.59581e-04   1.66160e-01   2.69059e-01   2.04394e-02   3.07650e-04   1.11621e-03  
3.00000e-02   0.00000e+00   4.84115e-04   3.41930e-01   1.06501e+00   3.10781e-01   4.69106e-04   8.68402e-04  
3.00000e-02   1.00000e-01   4.84115e-04   3.41930e-01   1.06501e+00   3.10781e-01   4.69106e-04   8.68402e-04  
3.00000e-02   2.00000e-01   4.78743e-04   3.41620e-01   1.04707e+00   3.01212e-01   4.67858e-04   8.72300e-04  
3.00000e-02   3.00000e-01   4.66605e-04   3.38520e-01   1.01045e+00   2.83504e-01   4.64185e-04   8.76334e-04  
3.00000e-02   4.00000e-01   4.52079e-04   3.35110e-01   9.70560e-01   2.66240e-01   4.58885e-04   8.76149e-04  
3.00000e-02   5.00000e-01   4.38947e-04   3.33560e-01   9.34542e-01   2.50682e-01   4.54059e-04   8.76698e-04  
3.00000e-02   6.00000e-01   4.27804e-04   3.30460e-01   9.03273e-01   2.36773e-01   4.50127e-04   8.79183e-04  
3.00000e-02   7.00000e-01   4.16661e-04   3.27360e-01   8.73509e-01   2.24369e-01   4.45810e-04   8.79633e-04  
3.00000e-02   8.00000e-01   4.07110e-04   3.23640e-01   8.46843e-01   2.12583e-01   4.42395e-04   8.82974e-04  
3.00000e-02   9.00000e-01   3.97758e-04   3.20230e-01   8.21419e-01   2.01729e-01   4.38871e-04   8.85595e-04  
3.00000e-02   1.00000e+00   3.89401e-04   3.16820e-01   7.98386e-01   1.91716e-01   4.35804e-04   8.89340e-04  
3.00000e-02   1.10000e+00   3.81044e-04   3.13100e-01   7.76054e-01   1.82404e-01   4.32543e-04   8.92192e-04  
3.00000e-02   1.20000e+00   3.72090e-04   3.10930e-01   7.53174e-01   1.73474e-01   4.28746e-04   8.93370e-04  
3.00000e-02   1.30000e+00   3.64131e-04   3.07830e-01   7.32681e-01   1.65381e-01   4.25402e-04   8.95394e-04  
3.00000e-02   1.40000e+00   3.54381e-04   3.03800e-01   7.09617e-01   1.57507e-01   4.20686e-04   8.92936e-04  
3.00000e-02   1.50000e+00   3.46422e-04   3.01010e-01   6.90107e-01   1.50397e-01   4.17011e-04   8.93276e-04  
3.00000e-02   1.60000e+00   3.39060e-04   2.97290e-01   6.72020e-01   1.43780e-01   4.13604e-04   8.94183e-04  
3.00000e-02   1.70000e+00   3.32891e-04   2.94190e-01   6.55956e-01   1.37326e-01   4.11022e-04   8.98309e-04  
3.00000e-02   1.80000e+00   3.25330e-04   2.92330e-01   6.38481e-01   1.31631e-01   4.07146e-04   8.96696e-04  
3.00000e-02   1.90000e+00   3.19958e-04   2.90160e-01   6.24973e-01   1.26493e-01   4.04727e-04   8.99621e-04  
3.00000e-02   2.00000e+00   3.15580e-04   2.89230e-01   6.13278e-01   1.21618e-01   4.02978e-04   9.04922e-04  
3.00000e-02   2.10000e+00   3.11998e-04   2.87990e-01   6.03198e-01   1.17118e-01   4.01719e-04   9.11677e-04  
3.00000e-02   2.20000e+00   3.06825e-04   2.84890e-01   5.91034e-01   1.13014e-01   3.99103e-04   9.12693e-04  
3.00000e-02   2.30000e+00   3.03243e-04   2.83650e-01   5.81463e-01   1.09023e-01   3.97677e-04   9.18401e-04  
3.00000e-02   2.40000e+00   2.98667e-04   2.80860e-01   5.70778e-01   1.05468e-01   3.95324e-04   9.19657e-04  
3.00000e-02   2.50000e+00   2.95881e-04   2.78070e-01   5.62977e-01   1.02007e-01   3.94341e-04   9.26410e-04  
3.00000e-02   2.60000e+00   2.91106e-04   2.74350e-01   5.52290e-01   9.87601e-02   3.91712e-04   9.26318e-04  
3.00000e-02   2.70000e+00   2.88519e-04   2.72180e-01   5.45192e-01   9.56920e-02   3.90751e-04   9.32689e-04  
3.00000e-02   2.80000e+00   2.85733e-04   2.71250e-01   5.37987e-01   9.28266e-02   3.89561e-04   9.37831e-04  
3.00000e-02   2.90000e+00   2.82749e-04   2.70010e-01   5.30561e-01   9.00507e-02   3.88180e-04   9.42230e-04  
3.00000e-02   3.00000e+00   2.80560e-04   2.68150e-01   5.24410e-01   8.73102e-02   3.87427e-04   9.49496e-04  
3.00000e-02   3.10000e+00   2.77376e-04   2.67220e-01   5.16955e-01   8.48148e-02   3.85783e-04   9.52431e-04  
3.00000e-02   3.20000e+00   2.73397e-04   2.64740e-01   5.08379e-01   8.24388e-02   3.83442e-04   9.52198e-04  
3.00000e-02   3.30000e+00   2.70014e-04   2.61950e-01   5.00947e-01   8.02771e-02   3.81496e-04   9.52994e-04  
3.00000e-02   3.40000e+00   2.67427e-04   2.59470e-01   4.94725e-01   7.80846e-02   3.80210e-04   9.57024e-04  
3.00000e-02   3.50000e+00   2.66233e-04   2.58540e-01   4.90784e-01   7.60039e-02   3.80030e-04   9.65705e-04  
3.00000e-02   3.60000e+00   2.61856e-04   2.54200e-01   4.81912e-01   7.39516e-02   3.77206e-04   9.62916e-04  
3.00000e-02   3.70000e+00   2.59269e-04   2.52030e-01   4.75965e-01   7.20350e-02   3.75806e-04   9.66004e-04  
3.00000e-02   3.80000e+00   2.57080e-04   2.50480e-01   4.70829e-01   7.03093e-02   3.74660e-04   9.69533e-04  
3.00000e-02   3.90000e+00   2.54693e-04   2.48930e-01   4.65241e-01   6.84407e-02   3.73403e-04   9.73552e-04  
3.00000e-02   4.00000e+00   2.52106e-04   2.47070e-01   4.59502e-01   6.67315e-02   3.71911e-04   9.75927e-04  
3.00000e-02   4.10000e+00   2.48922e-04   2.44590e-01   4.52827e-01   6.50169e-02   3.69911e-04   9.76226e-04  
3.00000e-02   4.20000e+00   2.45739e-04   2.41180e-01   4.46270e-01   6.34205e-02   3.67853e-04   9.75795e-04  
3.00000e-02   4.30000e+00   2.42953e-04   2.39630e-01   4.40330e-01   6.18198e-02   3.66128e-04   9.77144e-04  
3.00000e-02   4.40000e+00   2.41162e-04   2.38390e-01   4.36072e-01   6.03520e-02   3.65199e-04   9.81664e-04  
3.00000e-02   4.50000e+00   2.38774e-04   2.37150e-01   4.31028e-01   5.90277e-02   3.63693e-04   9.82787e-04  
3.00000e-02   4.60000e+00   2.36586e-04   2.34980e-01   4.26167e-01   5.75769e-02   3.62409e-04   9.85971e-04  
3.00000e-02   4.70000e+00   2.34994e-04   2.33430e-01   4.22348e-01   5.62381e-02   3.61594e-04   9.90925e-04  
3.00000e-02   4.80000e+00   2.33004e-04   2.31880e-01   4.18026e-01   5.50156e-02   3.60381e-04   9.93391e-04  
3.00000e-02   4.90000e+00   2.30616e-04   2.30330e-01   4.13135e-01   5.38450e-02   3.58793e-04   9.93842e-04  
3.00000e-02   5.00000e+00   2.27831e-04   2.27850e-01   4.07541e-01   5.25912e-02   3.56883e-04   9.93471e-04  
3.00000e-02   5.10000e+00   2.25642e-04   2.25680e-01   4.02925e-01   5.13851e-02   3.55474e-04   9.95407e-04  
3.00000e-02   5.20000e+00   2.23851e-04   2.25060e-01   3.98953e-01   5.02030e-02   3.54404e-04   9.99066e-04  
3.00000e-02   5.30000e+00   2.22458e-04   2.24440e-01   3.95635e-01   4.90547e-02   3.53672e-04   1.00440e-03  
3.00000e-02   5.40000e+00   2.21065e-04   2.23510e-01   3.92391e-01   4.79813e-02   3.52907e-04   1.00922e-03  
3.00000e-02   5.50000e+00   2.19274e-04   2.21340e-01   3.88533e-01   4.69132e-02   3.51782e-04   1.01237e-03  
3.00000e-02   5.60000e+00   2.17683e-04   2.20100e-01   3.85023e-01   4.58826e-02   3.50817e-04   1.01625e-03  
3.00000e-02   5.70000e+00   2.15693e-04   2.18860e-01   3.80934e-01   4.48943e-02   3.49471e-04   1.01798e-03  
3.00000e-02   5.80000e+00   2.13504e-04   2.16690e-01   3.76612e-01   4.39822e-02   3.47904e-04   1.01805e-03  
3.00000e-02   5.90000e+00   2.10519e-04   2.14830e-01   3.70929e-01   4.29494e-02   3.45658e-04   1.01581e-03  
3.00000e-02   6.00000e+00   2.09326e-04   2.13590e-01   3.68153e-01   4.20325e-02   3.44991e-04   1.02101e-03  
3.00000e-02   6.10000e+00   2.07336e-04   2.12350e-01   3.64168e-01   4.11484e-02   3.43576e-04   1.02211e-03  
3.00000e-02   6.20000e+00   2.05346e-04   2.10490e-01   3.60293e-01   4.03726e-02   3.42104e-04   1.02198e-03  
3.00000e-02   6.30000e+00   2.03754e-04   2.08630e-01   3.56980e-01   3.95403e-02   3.41023e-04   1.02468e-03  
3.00000e-02   6.40000e+00   2.02162e-04   2.07080e-01   3.53718e-01   3.87582e-02   3.39916e-04   1.02688e-03  
3.00000e-02   6.50000e+00   2.00769e-04   2.05840e-01   3.50759e-01   3.79691e-02   3.38995e-04   1.03034e-03  
3.00000e-02   6.60000e+00   1.99377e-04   2.04290e-01   3.47898e-01   3.72780e-02   3.38025e-04   1.03264e-03  
3.00000e-02   6.70000e+00   1.98382e-04   2.03670e-01   3.45620e-01   3.65501e-02   3.37444e-04   1.03767e-03  
3.00000e-02   6.80000e+00   1.96989e-04   2.02430e-01   3.42735e-01   3.58354e-02   3.36482e-04   1.04060e-03  
3.00000e-02   6.90000e+00   1.95795e-04   2.01500e-01   3.40152e-01   3.51122e-02   3.35711e-04   1.04490e-03  
3.00000e-02   7.00000e+00   1.95596e-04   2.01190e-01   3.39103e-01   3.43728e-02   3.35888e-04   1.05500e-03  
3.00000e-02   7.10000e+00   1.93805e-04   1.99020e-01   3.35708e-01   3.37684e-02   3.34491e-04   1.05465e-03  
3.00000e-02   7.20000e+00   1.92810e-04   1.98090e-01   3.33554e-01   3.31640e-02   3.33847e-04   1.05876e-03  
3.00000e-02   7.30000e+00   1.92014e-04   1.97160e-01   3.31700e-01   3.25497e-02   3.33397e-04   1.06429e-03  
3.00000e-02   7.40000e+00   1.90224e-04   1.95300e-01   3.28300e-01   3.19402e-02   3.31993e-04   1.06438e-03  
3.00000e-02   7.50000e+00   1.89627e-04   1.94990e-01   3.26721e-01   3.12906e-02   3.31750e-04   1.07199e-03  
3.00000e-02   7.60000e+00   1.88433e-04   1.93750e-01   3.24305e-01   3.07348e-02   3.30887e-04   1.07483e-03  
3.00000e-02   7.70000e+00   1.87438e-04   1.92820e-01   3.22118e-01   3.00978e-02   3.30255e-04   1.08041e-03  
3.00000e-02   7.80000e+00   1.85448e-04   1.91270e-01   3.18441e-01   2.95212e-02   3.28630e-04   1.07933e-03  
3.00000e-02   7.90000e+00   1.83856e-04   1.89720e-01   3.15399e-01   2.89587e-02   3.27377e-04   1.08041e-03  
3.00000e-02   8.00000e+00   1.82065e-04   1.88480e-01   3.12056e-01   2.84065e-02   3.25920e-04   1.08024e-03  
3.00000e-02   8.10000e+00   1.80076e-04   1.86310e-01   3.08438e-01   2.78881e-02   3.24243e-04   1.07831e-03  
3.00000e-02   8.20000e+00   1.78484e-04   1.84760e-01   3.05503e-01   2.74327e-02   3.22917e-04   1.07762e-03  
3.00000e-02   8.30000e+00   1.77489e-04   1.83830e-01   3.03486e-01   2.69658e-02   3.22183e-04   1.08085e-03  
3.00000e-02   8.40000e+00   1.76295e-04   1.82590e-01   3.01127e-01   2.64670e-02   3.21266e-04   1.08365e-03  
3.00000e-02   8.50000e+00   1.75101e-04   1.81350e-01   2.98813e-01   2.60131e-02   3.20324e-04   1.08566e-03  
3.00000e-02   8.60000e+00   1.74305e-04   1.80730e-01   2.97084e-01   2.55239e-02   3.19794e-04   1.09103e-03  
3.00000e-02   8.70000e+00   1.73111e-04   1.79490e-01   2.94764e-01   2.50636e-02   3.18852e-04   1.09346e-03  
3.00000e-02   8.80000e+00   1.72117e-04   1.78560e-01   2.92779e-01   2.46293e-02   3.18092e-04   1.09672e-03  
3.00000e-02   8.90000e+00   1.70127e-04   1.77010e-01   2.89251e-01   2.42006e-02   3.16326e-04   1.09360e-03  
3.00000e-02   9.00000e+00   1.69530e-04   1.76080e-01   2.87928e-01   2.38078e-02   3.15940e-04   1.09872e-03  
3.00000e-02   9.10000e+00   1.68535e-04   1.75150e-01   2.85923e-01   2.33526e-02   3.15185e-04   1.10287e-03  
3.00000e-02   9.20000e+00   1.67341e-04   1.73910e-01   2.83672e-01   2.29617e-02   3.14192e-04   1.10433e-03  
3.00000e-02   9.30000e+00   1.66346e-04   1.72670e-01   2.81725e-01   2.25654e-02   3.13401e-04   1.10737e-03  
3.00000e-02   9.40000e+00   1.64953e-04   1.70500e-01   2.79208e-01   2.22180e-02   3.12174e-04   1.10665e-03  
3.00000e-02   9.50000e+00   1.63759e-04   1.70190e-01   2.76939e-01   2.18091e-02   3.11182e-04   1.10889e-03  
3.00000e-02   9.60000e+00   1.61770e-04   1.68330e-01   2.73488e-01   2.14578e-02   3.09334e-04   1.10434e-03  
3.00000e-02   9.70000e+00   1.60775e-04   1.67400e-01   2.71595e-01   2.11153e-02   3.08501e-04   1.10642e-03  
3.00000e-02   9.80000e+00   1.59979e-04   1.66780e-01   2.70015e-01   2.07753e-02   3.07871e-04   1.10991e-03  
3.00000e-02   9.90000e+00   1.59581e-04   1.66160e-01   2.69059e-01   2.04394e-02   3.07650e-04   1.11621e-03  
